"Gene","CellTypes","Comparisons","Occurrences","Mean_Log2FC","Mean_Abs_Log2FC","MinPadj",".Direction"
"THAP3",1,1,1,-0.816485967517603,0.816485967517603,1,"drop"
"NLRP12",1,1,1,-0.814163699539588,0.814163699539588,1,"drop"
"IFT172",1,1,1,-0.810674807959578,0.810674807959578,1,"drop"
"RETSAT",1,1,1,-0.805155488799128,0.805155488799128,1,"drop"
"KCNC3",1,1,1,0.8022378754981,0.8022378754981,1,"drop"
"NKRF",1,1,1,-0.801502599240315,0.801502599240315,1,"drop"
"CYP4F3",1,1,1,-0.801075533444633,0.801075533444633,1,"drop"
"TTC8",1,1,1,-0.795221978236859,0.795221978236859,1,"drop"
"TGFB1I1",1,1,1,-0.793792699511312,0.793792699511312,1,"drop"
"FAXDC2",1,1,1,0.788980635765442,0.788980635765442,1,"drop"
"ZNF681",1,1,1,-0.788466599582152,0.788466599582152,1,"drop"
"PCLAF",1,1,1,-0.783144390199829,0.783144390199829,1,"drop"
"CD3EAP",1,1,1,-0.782351343863587,0.782351343863587,1,"drop"
"PTCRA",1,1,1,0.780453142163591,0.780453142163591,0.0756849384222877,"drop"
"GTSF1",1,1,1,-0.777936214895959,0.777936214895959,1,"drop"
"LMO7",1,1,1,-0.776851695248868,0.776851695248868,1,"drop"
"CEP83",1,1,1,0.776184974284799,0.776184974284799,1,"drop"
"SMYD4",1,1,1,-0.775650057321048,0.775650057321048,1,"drop"
"ULK4",1,1,1,0.775544753430463,0.775544753430463,1,"drop"
"RITA1",1,1,1,-0.774538280765469,0.774538280765469,1,"drop"
"RASGRP3",1,1,1,-0.772542422310909,0.772542422310909,1,"drop"
"ACSF2",1,1,1,-0.770210387989263,0.770210387989263,1,"drop"
"PPCDC",1,1,1,0.770197144861044,0.770197144861044,1,"drop"
"AMN1",1,1,1,-0.769937224498386,0.769937224498386,1,"drop"
"LIG1",1,1,1,-0.766123950014664,0.766123950014664,1,"drop"
"PYCARD-AS1",1,1,1,0.764596472940493,0.764596472940493,1,"drop"
"AC007384.1",1,1,1,0.763524662552316,0.763524662552316,1,"drop"
"SPATA20",1,1,1,0.762603825917353,0.762603825917353,1,"drop"
"SLAIN1",1,1,1,0.762047350725978,0.762047350725978,1,"drop"
"MTO1",1,1,1,-0.761664336234252,0.761664336234252,1,"drop"
"NETO2",1,1,1,-0.761280014237106,0.761280014237106,1,"drop"
"ZC3H12D",1,1,1,0.754855331424125,0.754855331424125,1,"drop"
"RWDD2B",1,1,1,-0.752941433619303,0.752941433619303,1,"drop"
"ZNF747",1,1,1,-0.751878204340123,0.751878204340123,1,"drop"
"BTBD8",1,1,1,-0.749930975249776,0.749930975249776,1,"drop"
"AC107464.3",1,1,1,-0.749640354253103,0.749640354253103,1,"drop"
"ATP2A1",1,1,1,-0.74930391989265,0.74930391989265,1,"drop"
"CAD",1,1,1,0.748716000770497,0.748716000770497,1,"drop"
"ZSCAN9",1,1,1,-0.747921730660268,0.747921730660268,1,"drop"
"ZNF93",1,1,1,-0.745920359527467,0.745920359527467,1,"drop"
"SDC4",1,1,1,-0.743353363720838,0.743353363720838,0.346531837878933,"drop"
"LIMK2",1,1,1,-0.743139853421257,0.743139853421257,1,"drop"
"HAPLN3",1,1,1,-0.74271253670345,0.74271253670345,1,"drop"
"AL161421.1",1,1,1,-0.736090173790205,0.736090173790205,1,"drop"
"OCLN",1,1,1,-0.735970212763514,0.735970212763514,1,"drop"
"ZER1",1,1,1,-0.734013764432615,0.734013764432615,0.0523565156436356,"drop"
"LINC00174",1,1,1,-0.732232869741615,0.732232869741615,1,"drop"
"MITF",1,1,1,-0.730024307704308,0.730024307704308,1,"drop"
"ZNF510",1,1,1,-0.729910883065817,0.729910883065817,1,"drop"
"AC147651.1",1,1,1,0.72803095374727,0.72803095374727,1,"drop"
"LSR",1,1,1,-0.727502491329322,0.727502491329322,1,"drop"
"PADI2",1,1,1,0.727387234127733,0.727387234127733,1,"drop"
"ENKUR",1,1,1,0.72421954014834,0.72421954014834,1,"drop"
"TNFAIP6",1,1,1,0.724206871027797,0.724206871027797,1,"drop"
"PIGB",1,1,1,0.724072589502591,0.724072589502591,1,"drop"
"APOA1",1,1,1,-0.723843266166807,0.723843266166807,1,"drop"
"TRMT5",1,1,1,-0.721914750626726,0.721914750626726,1,"drop"
"NSDHL",1,1,1,0.719055715258411,0.719055715258411,1,"drop"
"CTSL",1,1,1,-0.718064645449681,0.718064645449681,1,"drop"
"BRF1",1,1,1,-0.717677987001922,0.717677987001922,1,"drop"
"SNX30",1,1,1,-0.71745620569913,0.71745620569913,1,"drop"
"AL590652.1",1,1,1,0.717395837647663,0.717395837647663,1,"drop"
"CAPRIN2",1,1,1,0.716360361551017,0.716360361551017,1,"drop"
"TCEAL9",1,1,1,0.715674394296323,0.715674394296323,1,"drop"
"IFT140",1,1,1,-0.714626012298452,0.714626012298452,1,"drop"
"SNX16",1,1,1,0.708143642707881,0.708143642707881,1,"drop"
"FAM41C",1,1,1,0.707796418051396,0.707796418051396,1,"drop"
"PEX10",1,1,1,-0.706075930643385,0.706075930643385,1,"drop"
"SPAG1",1,1,1,-0.701713787445733,0.701713787445733,1,"drop"
"TNFSF11",1,1,1,-0.701358328457139,0.701358328457139,1,"drop"
"OSBPL5",1,1,1,-0.700152352467325,0.700152352467325,1,"drop"
"RALGAPB",1,1,1,-0.699924194973562,0.699924194973562,1,"drop"
"P2RY6",1,1,1,-0.69986979069221,0.69986979069221,1,"drop"
"RAB11FIP3",1,1,1,-0.697291175676428,0.697291175676428,1,"drop"
"NDRG2",1,1,1,0.696295855241109,0.696295855241109,1,"drop"
"SGSH",1,1,1,-0.695971892663254,0.695971892663254,1,"drop"
"ZNF253",1,1,1,0.695936954679153,0.695936954679153,1,"drop"
"GRAMD1B",1,1,1,0.692288707311603,0.692288707311603,1,"drop"
"GEN1",1,1,1,-0.690423375947161,0.690423375947161,1,"drop"
"C3orf62",1,1,1,-0.686093267016723,0.686093267016723,1,"drop"
"GOLGA8N",1,1,1,0.68105896819643,0.68105896819643,1,"drop"
"ZNF140",1,1,1,-0.679036014195674,0.679036014195674,1,"drop"
"NIBAN2",1,1,1,-0.678019597306547,0.678019597306547,1,"drop"
"PIGV",1,1,1,-0.677880158038021,0.677880158038021,1,"drop"
"VANGL1",1,1,1,0.676496166661522,0.676496166661522,1,"drop"
"FCER2",1,1,1,0.676146775288374,0.676146775288374,0.000922266023529155,"drop"
"TMEM67",1,1,1,0.675530089682836,0.675530089682836,1,"drop"
"PIK3R4",1,1,1,0.674547517434887,0.674547517434887,1,"drop"
"ZFYVE19",1,1,1,0.674287837653813,0.674287837653813,1,"drop"
"RTL6",1,1,1,0.672808088725418,0.672808088725418,1,"drop"
"VSIG1",1,1,1,-0.669985414989155,0.669985414989155,1,"drop"
"ICOS",1,1,1,0.66786225923208,0.66786225923208,1,"drop"
"RPP25",1,1,1,0.667837185325696,0.667837185325696,1,"drop"
"SPON1",1,1,1,-0.666614400828102,0.666614400828102,1,"drop"
"TKFC",1,1,1,-0.660473009976263,0.660473009976263,1,"drop"
"PIGZ",1,1,1,-0.658441364604514,0.658441364604514,1,"drop"
"FZD3",1,1,1,-0.655649606241028,0.655649606241028,1,"drop"
"LINC02422",1,1,1,-0.653769073592909,0.653769073592909,1,"drop"
"ZNF135",1,1,1,-0.649555235896878,0.649555235896878,1,"drop"
"ZNF90",1,1,1,-0.648125588159248,0.648125588159248,1,"drop"
"ZNF821",1,1,1,0.647997754077775,0.647997754077775,1,"drop"
"DNAJC3-DT",1,1,1,-0.645964837970312,0.645964837970312,1,"drop"
"SPACA9",1,1,1,-0.644195924173358,0.644195924173358,1,"drop"
"CDCA7",1,1,1,0.641959565201465,0.641959565201465,1,"drop"
"CIB2",1,1,1,0.640788972434724,0.640788972434724,1,"drop"
"HLA-B",1,1,1,0.6397269183898,0.6397269183898,1,"drop"
"C2orf88",1,1,1,0.638403850407705,0.638403850407705,1,"drop"
"CROT",1,1,1,-0.637736275163406,0.637736275163406,1,"drop"
"BEX3",1,1,1,0.636949884397996,0.636949884397996,1,"drop"
"ZNF846",1,1,1,-0.634883358159972,0.634883358159972,1,"drop"
"KSR1",1,1,1,0.63348041628923,0.63348041628923,1,"drop"
"VAT1",1,1,1,-0.631533806505497,0.631533806505497,1,"drop"
"LINC00205",1,1,1,-0.629183118931304,0.629183118931304,1,"drop"
"TRPM6",1,1,1,-0.629115302927976,0.629115302927976,1,"drop"
"SLC22A15",1,1,1,-0.628443137645741,0.628443137645741,1,"drop"
"F2RL1",1,1,1,0.623556893555381,0.623556893555381,1,"drop"
"HEG1",1,1,1,-0.621979149728603,0.621979149728603,1,"drop"
"GPR89A",1,1,1,0.62160921159731,0.62160921159731,1,"drop"
"CD34",1,1,1,-0.620099077113803,0.620099077113803,1,"drop"
"TMEM184C",1,1,1,-0.618376242906011,0.618376242906011,1,"drop"
"MAP9",1,1,1,0.61708627017175,0.61708627017175,1,"drop"
"NBPF10",1,1,1,0.616059288773824,0.616059288773824,1,"drop"
"ZDHHC4",1,1,1,-0.613347152230646,0.613347152230646,1,"drop"
"DNAJC18",1,1,1,0.61237339318633,0.61237339318633,1,"drop"
"NRF1",1,1,1,-0.612042555718935,0.612042555718935,1,"drop"
"PHF8",1,1,1,0.611189161440545,0.611189161440545,1,"drop"
"UTS2",1,1,1,0.609627977088455,0.609627977088455,1,"drop"
"AGPS",1,1,1,-0.609595101343209,0.609595101343209,1,"drop"
"AC092809.2",1,1,1,-0.608635354921835,0.608635354921835,1,"drop"
"SLC1A3",1,1,1,-0.608440406833859,0.608440406833859,1,"drop"
"FRMD3",1,1,1,-0.607547205439615,0.607547205439615,1,"drop"
"BTBD11",1,1,1,-0.607124330885434,0.607124330885434,1,"drop"
"P2RX5",1,1,1,-0.603129920413745,0.603129920413745,1,"drop"
"ILVBL",1,1,1,0.602818196601371,0.602818196601371,1,"drop"
"PLBD1",1,1,1,-0.602617367419041,0.602617367419041,1,"drop"
"AK4",1,1,1,-0.601992120179043,0.601992120179043,1,"drop"
"MYL9",1,1,1,0.600067598387361,0.600067598387361,0.023908357437068,"drop"
"AC008982.2",1,1,1,-0.599599945443734,0.599599945443734,1,"drop"
"CCHCR1",1,1,1,-0.598752855269664,0.598752855269664,1,"drop"
"AC004069.1",1,1,1,-0.598156813460396,0.598156813460396,1,"drop"
"ZEB2-AS1",1,1,1,0.596554329552567,0.596554329552567,1,"drop"
"TXNL4B",1,1,1,-0.596040591995326,0.596040591995326,1,"drop"
"SETD6",1,1,1,-0.595674898483563,0.595674898483563,1,"drop"
"BCL2L2",1,1,1,0.593509832576618,0.593509832576618,1,"drop"
"SPATA5",1,1,1,0.592749649901349,0.592749649901349,1,"drop"
"HDHD3",1,1,1,-0.59227363508392,0.59227363508392,1,"drop"
"FAM114A2",1,1,1,-0.591273402970994,0.591273402970994,1,"drop"
"LEF1-AS1",1,1,1,0.590617170061304,0.590617170061304,1,"drop"
"JMJD4",1,1,1,0.589572260578939,0.589572260578939,1,"drop"
"AP001816.1",1,1,1,-0.589466975993101,0.589466975993101,1,"drop"
"CRAMP1",1,1,1,-0.58889368299082,0.58889368299082,1,"drop"
"LINC01534",1,1,1,-0.58751072105338,0.58751072105338,1,"drop"
"ZNF8",1,1,1,0.586473635509129,0.586473635509129,1,"drop"
"RIOX2",1,1,1,0.585248112478083,0.585248112478083,1,"drop"
"ATP5PO",1,1,1,0.585082365632825,0.585082365632825,1,"drop"
"ANKRD33B",1,1,1,-0.585053715712446,0.585053715712446,1,"drop"
"RMI1",1,1,1,-0.584501252587133,0.584501252587133,1,"drop"
"LMF1",1,1,1,-0.584483024179907,0.584483024179907,1,"drop"
"ZNF764",1,1,1,0.584128791867372,0.584128791867372,1,"drop"
"ABCD2",1,1,1,-0.583202331367416,0.583202331367416,1,"drop"
"ANKMY2",1,1,1,-0.581789249090525,0.581789249090525,1,"drop"
"GZMK",1,1,1,-0.581046117279282,0.581046117279282,1,"drop"
"PIAS3",1,1,1,-0.580294295579947,0.580294295579947,1,"drop"
"NINJ2",1,1,1,-0.580249721062459,0.580249721062459,1,"drop"
"ZNF354B",1,1,1,-0.579812483631372,0.579812483631372,1,"drop"
"RABL2A",1,1,1,0.578337220325353,0.578337220325353,1,"drop"
"UNG",1,1,1,0.578150093541843,0.578150093541843,1,"drop"
"ZNF440",1,1,1,-0.577845217862239,0.577845217862239,1,"drop"
"TMEM177",1,1,1,-0.577457591097376,0.577457591097376,1,"drop"
"EIF2B4",1,1,1,0.576999215626456,0.576999215626456,1,"drop"
"FUT7",1,1,1,-0.576101653053592,0.576101653053592,1,"drop"
"ICA1",1,1,1,-0.575989596870387,0.575989596870387,1,"drop"
"DHRS12",1,1,1,-0.574639757771055,0.574639757771055,1,"drop"
"CARMIL2",1,1,1,-0.574508324880285,0.574508324880285,1,"drop"
"ZNF257",1,1,1,-0.574489156511665,0.574489156511665,1,"drop"
"KIR3DL2",1,1,1,-0.573162591553496,0.573162591553496,1,"drop"
"BOP1",1,1,1,0.572411472216726,0.572411472216726,1,"drop"
"WDR3",1,1,1,-0.571186026937906,0.571186026937906,1,"drop"
"BAIAP2-DT",1,1,1,-0.570561488748589,0.570561488748589,1,"drop"
"SPRYD3",1,1,1,-0.5702364598606,0.5702364598606,1,"drop"
"DAPK3",1,1,1,-0.569718257558875,0.569718257558875,1,"drop"
"COL19A1",1,1,1,0.56844617267551,0.56844617267551,1,"drop"
"MEF2B",1,1,1,-0.568407932357551,0.568407932357551,1,"drop"
"FUT4",1,1,1,-0.567114687968588,0.567114687968588,1,"drop"
"SLC45A4",1,1,1,-0.564469475320076,0.564469475320076,1,"drop"
"VPS33B",1,1,1,-0.56371311140465,0.56371311140465,1,"drop"
"CDK2",1,1,1,-0.563353023299502,0.563353023299502,1,"drop"
"Z97192.3",1,1,1,0.563105738626939,0.563105738626939,1,"drop"
