"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"TIGIT",1,1,-1.34513433092557,-1.34513433092557,1.34513433092557,1.34513433092557,0.0000000922864027815706,0.0000000922864027815706,"Cell-type-specific"
"DAAM1",1,1,-1.33799224781457,-1.33799224781457,1.33799224781457,1.33799224781457,0.000000000127153693305809,0.000000000127153693305809,"Cell-type-specific"
"AC004556.3",1,1,-1.33546441397416,-1.33546441397416,1.33546441397416,1.33546441397416,0.00962496399453775,0.00962496399453775,"Cell-type-specific"
"SLC7A5",1,1,-1.33324907704533,-1.33324907704533,1.33324907704533,1.33324907704533,0.000253722563160337,0.000253722563160337,"Cell-type-specific"
"IGHG2",1,1,-1.32873345842336,-1.32873345842336,1.32873345842336,1.32873345842336,0.000010342312513748,0.000010342312513748,"Cell-type-specific"
"B3GNT7",1,1,1.32269056827551,1.32269056827551,1.32269056827551,1.32269056827551,0.00246619543181153,0.00246619543181153,"Cell-type-specific"
"LDLR",1,2,-0.22189954463557,-0.22189954463557,1.31206775694793,1.5339673015835,0.00646589391036148,0.0155854589428118,"Cell-type-specific"
"ARID5A",1,1,-1.29863667799772,-1.29863667799772,1.29863667799772,1.29863667799772,0.000004492602831672,0.000004492602831672,"Cell-type-specific"
"HAGHL",1,1,-1.28085718260147,-1.28085718260147,1.28085718260147,1.28085718260147,0.0104519093452199,0.0104519093452199,"Cell-type-specific"
"S100B",1,1,-1.27831503663412,-1.27831503663412,1.27831503663412,1.27831503663412,0.0000465472643316557,0.0000465472643316557,"Cell-type-specific"
"BHLHE41",1,1,-1.26470745358124,-1.26470745358124,1.26470745358124,1.26470745358124,0.00362624362093351,0.00362624362093351,"Cell-type-specific"
"NFIA",1,1,-1.25598851018215,-1.25598851018215,1.25598851018215,1.25598851018215,0.000129807194731453,0.000129807194731453,"Cell-type-specific"
"PTGER4",1,1,-1.24214572693917,-1.24214572693917,1.24214572693917,1.24214572693917,0.0478853997191499,0.0478853997191499,"Cell-type-specific"
"ZFP36",1,1,-1.24031009533725,-1.24031009533725,1.24031009533725,1.24031009533725,0.00000000000000819483161003276,0.00000000000000819483161003276,"Cell-type-specific"
"ADGRE5",1,1,-1.23780917449087,-1.23780917449087,1.23780917449087,1.23780917449087,0.0000099172835612357,0.0000099172835612357,"Cell-type-specific"
"CEACAM4",1,1,-1.22790786438135,-1.22790786438135,1.22790786438135,1.22790786438135,0.00410249744940586,0.00410249744940586,"Cell-type-specific"
"B3GNT5",1,1,-1.22539663873631,-1.22539663873631,1.22539663873631,1.22539663873631,0.000413102942009567,0.000413102942009567,"Cell-type-specific"
"FGD4",1,1,-1.22506238917861,-1.22506238917861,1.22506238917861,1.22506238917861,0.0000011478044956793,0.0000011478044956793,"Cell-type-specific"
"CLU",1,1,1.21971212706074,1.21971212706074,1.21971212706074,1.21971212706074,0.00000114340926201445,0.00000114340926201445,"Cell-type-specific"
"APOL2",1,1,-1.19756273341802,-1.19756273341802,1.19756273341802,1.19756273341802,0.0239897167966925,0.0239897167966925,"Cell-type-specific"
"ZFPM1",1,1,-1.19551260635418,-1.19551260635418,1.19551260635418,1.19551260635418,0.000866211076597417,0.000866211076597417,"Cell-type-specific"
"TNFRSF13B",1,1,-1.19143655746348,-1.19143655746348,1.19143655746348,1.19143655746348,0.00000000237662103041091,0.00000000237662103041091,"Cell-type-specific"
"TSC22D2",1,1,1.19045700233011,1.19045700233011,1.19045700233011,1.19045700233011,0.0284733951763617,0.0284733951763617,"Cell-type-specific"
"TMEM40",1,1,1.18817094138888,1.18817094138888,1.18817094138888,1.18817094138888,0.0121171873285587,0.0121171873285587,"Cell-type-specific"
"SERTAD1",1,1,-1.18533173463856,-1.18533173463856,1.18533173463856,1.18533173463856,0.039931049117791,0.039931049117791,"Cell-type-specific"
"B4GALT4",1,1,-1.18003807759233,-1.18003807759233,1.18003807759233,1.18003807759233,0.00196182792674066,0.00196182792674066,"Cell-type-specific"
"CPD",1,1,-1.16988979276856,-1.16988979276856,1.16988979276856,1.16988979276856,0.0000000000000000204392720107327,0.0000000000000000204392720107327,"Cell-type-specific"
"CNTNAP2",1,1,-1.16604266471612,-1.16604266471612,1.16604266471612,1.16604266471612,0.00000581323743924948,0.00000581323743924948,"Cell-type-specific"
"DDX60L",1,1,1.16435052543081,1.16435052543081,1.16435052543081,1.16435052543081,0.0306907085939352,0.0306907085939352,"Cell-type-specific"
"AHSA1",1,1,-1.15822566183536,-1.15822566183536,1.15822566183536,1.15822566183536,0.000000292470323218383,0.000000292470323218383,"Cell-type-specific"
"IDS",1,1,-1.15422870638766,-1.15422870638766,1.15422870638766,1.15422870638766,0.00000000465616839192343,0.00000000465616839192343,"Cell-type-specific"
"DCTN6",1,1,-1.15089596279484,-1.15089596279484,1.15089596279484,1.15089596279484,0.0145992980449646,0.0145992980449646,"Cell-type-specific"
"USP10",1,1,-1.14996360862595,-1.14996360862595,1.14996360862595,1.14996360862595,0.00156126496826869,0.00156126496826869,"Cell-type-specific"
"CCR1",1,1,1.14925396443438,1.14925396443438,1.14925396443438,1.14925396443438,0.0000485196800453844,0.0000485196800453844,"Cell-type-specific"
"C16orf54",1,1,-1.14013897511097,-1.14013897511097,1.14013897511097,1.14013897511097,0.0000451304852342535,0.0000451304852342535,"Cell-type-specific"
"AC144652.1",1,1,-1.12818643232088,-1.12818643232088,1.12818643232088,1.12818643232088,0.00275476060075894,0.00275476060075894,"Cell-type-specific"
"FCRL3",1,1,1.1250549581927,1.1250549581927,1.1250549581927,1.1250549581927,0.0166693119674821,0.0166693119674821,"Cell-type-specific"
"TRIM38",1,1,1.12380825802034,1.12380825802034,1.12380825802034,1.12380825802034,0.00428487680078165,0.00428487680078165,"Cell-type-specific"
"TMIGD2",1,1,-1.11855188443835,-1.11855188443835,1.11855188443835,1.11855188443835,0.00000000344621365370798,0.00000000344621365370798,"Cell-type-specific"
"PMAIP1",1,2,-0.08557174143886,-0.08557174143886,1.11618544133999,1.20175718277885,0.00533221155965249,0.0196793982419466,"Cell-type-specific"
"BHLHE40",1,1,1.11467180660446,1.11467180660446,1.11467180660446,1.11467180660446,0.00350017802680393,0.00350017802680393,"Cell-type-specific"
"CCDC71L",1,1,-1.11456258850977,-1.11456258850977,1.11456258850977,1.11456258850977,0.00258845566540772,0.00258845566540772,"Cell-type-specific"
"CCL4",1,1,-1.10697219734059,-1.10697219734059,1.10697219734059,1.10697219734059,0.0000000213661979498462,0.0000000213661979498462,"Cell-type-specific"
"PTGDR",1,1,-1.1057334333358,-1.1057334333358,1.1057334333358,1.1057334333358,0.0334384039185875,0.0334384039185875,"Cell-type-specific"
"RGCC",1,1,-1.09354628862988,-1.09354628862988,1.09354628862988,1.09354628862988,0.0176196412967682,0.0176196412967682,"Cell-type-specific"
"MARCH2",1,1,1.07827409521712,1.07827409521712,1.07827409521712,1.07827409521712,0.00343642957732012,0.00343642957732012,"Cell-type-specific"
"CBFA2T3",1,1,-1.07449471630117,-1.07449471630117,1.07449471630117,1.07449471630117,0.0223102869228992,0.0223102869228992,"Cell-type-specific"
"TMEM35B",1,1,-1.07302412047055,-1.07302412047055,1.07302412047055,1.07302412047055,0.000599595460134068,0.000599595460134068,"Cell-type-specific"
"DSEL",1,1,-1.05915171304258,-1.05915171304258,1.05915171304258,1.05915171304258,0.0000000306347206740798,0.0000000306347206740798,"Cell-type-specific"
"PLEKHO2",1,2,0.000028496463339911,0.000028496463339911,1.05651190787619,1.05654040433953,0.0000000709218017874586,0.00115585108750842,"Cell-type-specific"
