"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"CCDC107",1,1,-0.6497098833499,-0.6497098833499,0.6497098833499,0.6497098833499,0.00499264717230045,0.00499264717230045,"Cell-type-specific"
"GSPT1",1,1,-0.667662831761945,-0.667662831761945,0.667662831761945,0.667662831761945,0.00573679069014556,0.00573679069014556,"Cell-type-specific"
"RAD50",1,1,-0.741103281539516,-0.741103281539516,0.741103281539516,0.741103281539516,0.00633219922619025,0.00633219922619025,"Cell-type-specific"
"NUP210",1,1,-0.841165398882591,-0.841165398882591,0.841165398882591,0.841165398882591,0.00656312024409548,0.00656312024409548,"Cell-type-specific"
"PPBP",3,1,0.793168406104633,0.825536910884006,0.793168406104633,0.892987204324342,0.000000340984108964636,0.00000917424819967865,"Moderately recurrent (3-4)"
"ELOA",1,1,-0.906171825519867,-0.906171825519867,0.906171825519867,0.906171825519867,0.00846276109116807,0.00846276109116807,"Cell-type-specific"
"IFI44L",6,2,3.48756940321037,2.7986093512884,3.48756940321037,7.33662356113122,0.000000000000000000000000000064235592856381,0.000000000861952618437103,"Highly recurrent (5+)"
"TUBB",1,1,-0.768875284009626,-0.768875284009626,0.768875284009626,0.768875284009626,0.00883133369920474,0.00883133369920474,"Cell-type-specific"
"ITGB2",1,1,-0.624119587677746,-0.624119587677746,0.624119587677746,0.624119587677746,0.00926975408165804,0.00926975408165804,"Cell-type-specific"
"ATP1B3",1,1,-0.944900000861288,-0.944900000861288,0.944900000861288,0.944900000861288,0.00982310034528439,0.00982310034528439,"Cell-type-specific"
"OSBPL10",1,1,-0.556302156552301,-0.556302156552301,0.556302156552301,0.556302156552301,0.0100207620839084,0.0100207620839084,"Cell-type-specific"
"HAGHL",1,1,-1.28085718260147,-1.28085718260147,1.28085718260147,1.28085718260147,0.0104519093452199,0.0104519093452199,"Cell-type-specific"
"POU2AF1",1,1,-0.538995710068916,-0.538995710068916,0.538995710068916,0.538995710068916,0.012208149420466,0.012208149420466,"Cell-type-specific"
"HSPD1",1,1,-0.571936124509598,-0.571936124509598,0.571936124509598,0.571936124509598,0.0127780070352922,0.0127780070352922,"Cell-type-specific"
"DOCK10",1,1,-0.620893652444926,-0.620893652444926,0.620893652444926,0.620893652444926,0.0134158424086118,0.0134158424086118,"Cell-type-specific"
"AL121944.1",1,1,-0.961571463315954,-0.961571463315954,0.961571463315954,0.961571463315954,0.0142805889994848,0.0142805889994848,"Cell-type-specific"
"TIPARP",3,2,-0.306708145437736,-1.38727361540048,1.95345321969064,2.31708343890762,0.00000000119205998523787,0.000195421179281026,"Moderately recurrent (3-4)"
"AC044849.1",2,1,-1.17747869689047,-1.17747869689047,1.17747869689047,1.22848209006795,0.0153353042651157,0.0248276562163143,"Shared across 2 cell types"
"TXNDC5",1,1,-0.561535868043821,-0.561535868043821,0.561535868043821,0.561535868043821,0.0155342034663008,0.0155342034663008,"Cell-type-specific"
"PF4",4,2,0.440487651870837,1.03444934037166,1.11881331457325,1.35665132540482,0.00000249833973881308,0.00808587960343068,"Moderately recurrent (3-4)"
"TXN",1,1,-0.635551278767526,-0.635551278767526,0.635551278767526,0.635551278767526,0.0160272194881847,0.0160272194881847,"Cell-type-specific"
