"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"SP110",0.0000000488381283367889,0.54425340937491,0.744,0.649,0.00178752433525481,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"SAMD9L",0.0000000866791500745973,0.875612329270294,0.376,0.265,0.00317254357188034,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"MARCKS",0.000000485365116103196,0.531633084549181,0.434,0.325,0.0177648486144931,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"HERC5",0.00000084818824373227,0.878398414771172,0.223,0.122,0.0310445379088448,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"TMEM156",0.000000957653082480087,0.90433811064884,0.269,0.166,0.0350510604718537,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"ATF3",0.000000000000000594783525665493,3.15158932681253,0.221,0.07,0.0000000000217696718228827,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"NR4A3",0.00000000000313699542557545,2.25468559483146,0.224,0.091,0.000000114817169571487,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"CDKN1A",0.00000000000662226830893116,1.45731340234856,0.478,0.333,0.000000242381642375189,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"ZNF331",0.00000000137133920477281,2.25613736655679,0.267,0.146,0.0000501923862338896,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"CSRNP1",0.00000000794142826816093,1.63915502725561,0.345,0.233,0.000290664216042958,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"KLF10",0.0000000154842736787774,0.555068617416469,0.75,0.652,0.000566739900916931,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"JUND",0.0000000528352034634964,0.529968297322581,0.995,0.99,0.00193382128196743,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"TIPARP",0.0000000696405859749358,1.91635013108332,0.325,0.22,0.00254891508726863,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"LMNA",0.000000087151110787647,0.90584925370227,0.486,0.365,0.00318981780593867,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"PHLDA2",0.000000239894275289627,1.75822219594521,0.192,0.096,0.00878037036987565,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"NINJ1",0.000000287401651677323,1.00102230932752,0.299,0.187,0.0105191878530417,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"ETV3",0.000000821517575804769,0.995818049507502,0.335,0.226,0.0300683647920304,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"ID1",0.00000123770915251712,2.24584263442002,0.143,0.064,0.0453013926912792,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"MYL4",0.00000000000000700165854402016,6.38429876505954,0.111,0.011,0.000000000256267704369682,"Monocytes","Healthy_vs_AChR_MG","Upregulated"
"RPS26",0.000000000312733139944967,0.851739895259227,0.683,0.661,0.0000114463456551258,"Monocytes","Healthy_vs_AChR_MG","Upregulated"
"AC020656.1",0.00000001342535092346,0.886649583033705,0.66,0.643,0.000491381269149559,"Monocytes","Healthy_vs_AChR_MG","Upregulated"
"IFI44L",0.000000000000000000000000000000315038649249415,2.38835122623787,0.302,0.063,0.0000000000000000000000000115307296011779,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"IFI6",0.0000000000000000000443715700571499,1.79589177416669,0.378,0.175,0.00000000000000162404383566174,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"SCO2",0.00000000000000000141032994814343,1.39242031891966,0.511,0.331,0.0000000000000516194864319978,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"TMSB4X",0.00000000000000183528969765472,0.599111408644201,0.988,0.97,0.0000000000671734382238603,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"MX1",0.00000000000000757622143320712,1.6591885896109,0.307,0.139,0.000000000277297280676814,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"PTP4A2",0.0000000000000455953140905819,0.652688131002668,0.795,0.776,0.00000000166883409102939,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"EPSTI1",0.000000000000084213051316773,1.23711457431297,0.331,0.163,0.00000000308228189124521,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"LY6E",0.000000000000427214341788688,1.45227595913935,0.423,0.275,0.0000000156364721238078,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"XAF1",0.0000000000010704206655573,1.24642918151516,0.411,0.259,0.0000000391784667800629,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"AP001189.1",0.00000000000333179653033843,1.60457315216437,0.22,0.086,0.000000121947084806917,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"IFIT3",0.0000000000248539019240308,2.11759893267052,0.149,0.045,0.000000909677664321451,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CLU",0.000000000031239836671524,1.21971212706074,0.305,0.155,0.00000114340926201445,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"OAS2",0.000000000059590781381749,1.24513553148125,0.293,0.151,0.00000218108218935339,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"OAS3",0.0000000000663196984276399,1.49446355899763,0.203,0.083,0.00000242736728215005,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"PF4",0.0000000000682587836073626,1.03670994922349,0.473,0.312,0.00000249833973881308,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"MARCKS",0.0000000000739189269571282,0.988108724810386,0.594,0.489,0.00000270550664555785,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44",0.0000000000793273289048163,1.58463752047284,0.227,0.101,0.00000290345956524518,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"GNG11",0.0000000000815628959834884,1.00576338200436,0.388,0.23,0.00000298528355589166,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CAVIN2",0.000000000148865904554893,0.948634634685583,0.395,0.238,0.00000544864097261364,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CMPK2",0.000000000184597198162411,1.90888806100343,0.135,0.04,0.00000675644204994241,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"PPBP",0.000000000250655670601313,0.825536910884006,0.586,0.425,0.00000917424819967865,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"PLEKHO1",0.000000000267850775968413,0.853230087006903,0.704,0.591,0.00000980360625121988,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CCL5",0.0000000011305745586523,0.939111826788095,0.464,0.311,0.0000413801594212328,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"VCL",0.00000000128802806487501,1.02588038816939,0.641,0.511,0.0000471431152024904,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CCR1",0.00000000132563809855972,1.14925396443438,0.464,0.343,0.0000485196800453844,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"PARP14",0.00000000134758813301392,1.16277859789658,0.416,0.295,0.0000493230732564426,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"TLE3",0.00000000168656070310282,0.784265708131856,0.435,0.299,0.0000617298082942664,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"TUBB1",0.0000000019674923695946,0.758429445442468,0.343,0.194,0.000072012188219532,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"TPM4",0.00000000268907377750967,0.926133274179886,0.75,0.665,0.0000984227893306315,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CDKN2D",0.00000000750267192963822,0.782451733260237,0.733,0.644,0.000274605295296689,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"GP1BB",0.00000000766828254469178,0.872701724638343,0.404,0.259,0.000280666809418264,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"C19orf33",0.000000012115073226925,2.00850219824463,0.147,0.057,0.000443423795178683,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"ISG15",0.000000013629833452469,1.21406040391829,0.373,0.261,0.000498865534193819,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"TGFB1",0.0000000142330076718674,0.900129360737985,0.692,0.598,0.000520942313798018,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"NAP1L1",0.0000000167522719403315,0.707292643918739,0.861,0.807,0.000613149905288075,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"APOBEC3A",0.0000000319249080152389,0.970452211269902,0.392,0.274,0.00116848355826576,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CD300E",0.0000000506283236312811,0.911097862323954,0.49,0.39,0.00185304727322852,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"HMGB1",0.0000000557108976077046,0.581693851772167,0.879,0.841,0.0020390745633396,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"PLEKHO2",0.0000000631575982408968,1.05654040433953,0.27,0.155,0.00231163125321506,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"PLEK",0.0000000709675633951475,0.661398439705853,0.737,0.659,0.00259748378782579,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"RHOU",0.0000000795285577878133,0.889691298456283,0.255,0.142,0.00291082474359176,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"MARCH2",0.0000000938889532340679,1.07827409521712,0.458,0.327,0.00343642957732012,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
