"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"OAS3",0.0000000000663196984276399,1.49446355899763,0.203,0.083,0.00000242736728215005,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"LY6E",0.000000000000427214341788688,1.45227595913935,0.423,0.275,0.0000000156364721238078,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"SCO2",0.00000000000000000141032994814343,1.39242031891966,0.511,0.331,0.0000000000000516194864319978,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"ITGB3",0.00000081388856495892,1.39066298450494,0.146,0.065,0.0297891353660614,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"RGS18",0.000000502772254097171,1.37283458389861,0.575,0.484,0.0184019672722106,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CMPK2",0.00000000000633507820403085,9.06352077977209,0.123,0,0.000000231870197345733,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"RSAD2",0.00000000000000000000000000000000000000000131142164641571,8.50605515956904,0.421,0.006,0.0000000000000000000000000000000000000479993436804615,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44L",0.00000000000000000000000000000967252828789659,7.33662356113122,0.317,0.008,0.000000000000000000000000354024207865303,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFIT1",0.0000000000000000000000000000133186944209664,5.12520620724922,0.337,0.019,0.000000000000000000000000487477534501793,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"OAS3",0.00000000000000857474039221252,5.05632072446991,0.173,0.008,0.00000000031384407309537,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"HERC5",0.0000000000000000000000000000000243380201887131,4.75052230342948,0.376,0.028,0.000000000000000000000000000890795876927089,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44",0.0000000000000336777230975526,4.5348786010165,0.173,0.011,0.00000000123263834309352,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"ISG15",0.000000000000000000000000017679758013175,4.35607483393896,0.412,0.095,0.000000000000000000000647096823040219,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"XAF1",0.00000000000000000000000000309627918136746,4.29217093406629,0.351,0.042,0.00000000000000000000011332691431723,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"MX1",0.00000000000000000000000000000000780359617436783,4.2009564229098,0.41,0.047,0.000000000000000000000000000285619423578037,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"LY6E",0.0000000000000000235059969125362,3.94723879691605,0.294,0.067,0.000000000000860342992995738,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFIT3",0.000000000000000000000000000000000670549406640454,3.90441070882333,0.472,0.092,0.0000000000000000000000000000245427788324472,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFIT2",0.00000000000000000000000000000272300747259869,3.88302561126687,0.437,0.084,0.0000000000000000000000000996647965045848,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFIT5",0.00000000000216151652663964,3.76856904890702,0.175,0.022,0.0000000791136663915375,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"EPSTI1",0.0000000000000573783486655731,3.38413865363917,0.226,0.042,0.00000000210010493950864,"Neutrophils","Healthy_vs_SNMG_Pre","Upregulated"
"B3GNT7",0.0000000673805478487345,1.32269056827551,0.159,0.072,0.00246619543181153,"NK cells","Healthy_vs_SNMG_Pre","Upregulated"
"RPS26",0.0000000000000000000000000000000000000000000000000000123588339446112,1.21430680281263,0.942,0.866,0.000000000000000000000000000000000000000000000000452345681206714,"NK cells","Healthy_vs_SNMG_Pre","Upregulated"
"HLA-DPB1",0.0000000000150880335043117,0.875240015049794,0.517,0.385,0.000000552237114291314,"NK cells","Healthy_vs_SNMG_Pre","Upregulated"
"EIF2AK2",0.000000206112994573057,0.847782647750321,0.279,0.169,0.00754394171436845,"NK cells","Healthy_vs_SNMG_Pre","Upregulated"
"IFITM1",0.00000000153178455627075,0.764545684635727,0.539,0.415,0.0000560648465440658,"NK cells","Healthy_vs_SNMG_Pre","Upregulated"
"ISG15",0.0000006324173142249,0.757727533790368,0.418,0.311,0.0231471061179455,"NK cells","Healthy_vs_SNMG_Pre","Upregulated"
"CDKN2D",0.000000000017235071005754,0.747257960654036,0.579,0.429,0.000000630820833881601,"NK cells","Healthy_vs_SNMG_Pre","Upregulated"
"IL2RB",0.000000187433666709121,0.604098932364457,0.644,0.579,0.00686025963522052,"NK cells","Healthy_vs_SNMG_Pre","Upregulated"
"TRDC",0.0000000481113621426971,0.522328531538601,0.592,0.488,0.00176092396578486,"NK cells","Healthy_vs_SNMG_Pre","Upregulated"
"CCL3L1",0.00000000000000000000000000401200623433383,2.51711881406348,0.338,0.116,0.000000000000000000000146843440182853,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"ZNF331",0.000000000000000000157034567444136,1.96260108481321,0.265,0.088,0.00000000000000574762220302282,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"CREM",0.0000000000000000100504548704482,1.66285328960951,0.339,0.159,0.000000000000367856698713274,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"PTS",0.000000489654142751022,1.6516889957365,0.121,0.049,0.0179218312788302,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"FURIN",0.000000523769250630121,1.59934414774354,0.101,0.035,0.019170478342313,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
"NR4A2",0.0000000000407454741631065,1.47040459156519,0.227,0.103,0.00000149132509984386,"T cells","Healthy_vs_SNMG_Pre","Upregulated"
